;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
4P 2,0 TFSI QUATTRO ATTRACTION;;null;null;null;null;;;;;;;;;null;16644
4P 2,0 TFSI QUATTRO ATTRACTION S-TRONIC;;null;null;null;null;;;;;;;;;null;17719
4P 2,0 TFSI QUATTRO PLUS AMBITION;;null;null;null;null;;;;;;;;;null;17719
4P 2,0 TFSI QUATTRO PLUS AMBITION S-TRONIC;;null;null;null;null;;;;;;;;;null;18795
4P 2,0 TFSI QUATTRO SPORT ALCANTARA;;null;null;null;null;;;;;;;;;null;17824
4P 2,0 TFSI QUATTRO SPORT ALCANTARA S-TRONIC;;null;null;null;null;;;;;;;;;null;18901
4P 2,0 TFSI QUATTRO SPORT CRO;;null;null;null;null;;;;;;;;;null;17639
4P 2,0 TFSI QUATTRO SPORT CRO S-TRONIC;;null;null;null;null;;;;;;;;;null;18716
4P 2,0 TDi MULTI ATTRACTION;;null;null;null;null;;;;;;;;;null;16137
4P 2,0 TDi MULTI SPORT CRO;;null;null;null;null;;;;;;;;;null;18132
4P 2,0 TDi MULTI PLUS AMBITION;;null;null;null;null;;;;;;;;;null;17673
AVANT 2,0 TDi ATTRACTION MULTI;;null;null;null;null;;;;;;;;;null;16562
AVANT 2,0 TDi SPORT ALCANTARA MULTI;;null;null;null;null;;;;;;;;;null;18948
AVANT 2,0 TDi SPORT CRO MULTI;;null;null;null;null;;;;;;;;;null;18709
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
AVANT 2,0 TDi PLUS AMBITION MULTI;;null;null;null;null;;;;;;;;;null;18263
4P 2,0 TFSI ATTRACTION 2012;;null;null;null;null;;;;;;;20935;20082;19407;18284
4P 2,0 TFSI ATTRACTION MULTI 2012;;null;null;null;null;;;;;;;22396;21483;20762;19561
4P 2,0 TFSI PLUS AMBITION 2012;;null;null;null;null;;;;;;;22396;21483;20762;19561
4P 2,0 TFSI PLUS AMBITION MULTI 2012;;null;null;null;null;;;;;;;23857;22885;22116;20837
4P 2,0 TFSI QUATTRO ATTRACTION S-TRONIC 2012;;null;null;null;null;;;;;;;24065;23085;22310;21019
4P 2,0 TFSI QUATTRO PLUS AMBITION S-TRONIC 2012;;null;null;null;null;;;;;;;25526;24486;23664;22295
4P 2,0 TDi MULTI ATTRACTION 2012;;null;null;null;null;;;;;;;21915;21023;20317;19141
4P 2,0 TDi MULTI PLUS AMBITION 2012;;null;null;null;null;;;;;;;24003;23025;22251;20964
4P 2,0 TFSI 190CV 2016;;null;null;null;null;;;;28234;27594;26974;;;null;null
4P 2,0 TFSI 190CV S-TRONIC FRONT 2016;;null;null;null;null;;35215;32460;28305;27663;27041;;;null;null
4P 2,0 TFSI 252CV S-TRONIC FRONT 2018;;null;null;null;null;;45516;41955;36584;;;;;null;null
4P 2,0 TFSI 252CV S-TRONIC QUATTRO 2016;;null;null;null;null;;53333;49160;42867;41895;40953;;;null;null
4P 2,0 TFSI 190CV 40;;null;52280;49791;46102;43907;41816;;;;;;;null;null
4P 2,0 TFSI 40 ADVANCED;;null;65012;61916;57329;54599;52000;;;;;;;null;null
4P 2,0 TFSI 45 S-TRONIC QUATTRO ADVANCE MH;;71077;67693;64048;null;;;;;;;;;null;null
4P 3,0 TFSI S-TRONIC QUATTRO;;null;null;null;null;;;;;;;27534;26412;25525;23869
4P 3,0 TDi QUATTRO S-TRONIC;;null;null;null;null;;;;;;;29407;28209;27261;25684
4P 3,2 QUATTRO;;null;null;null;null;;;;;;;;;null;21751
4P 3,2 QUATTRO TIPT;;null;null;null;null;;;;;;;;25037;24197;22797
A5;;null;null;null;null;;;;;;;;;null;null
SPORTBACK 2,0 TFSI;;null;null;null;null;;;;;;;28625;26533;23132;22067
SPORTBACK 2,0 TFSI MULTI;;null;null;null;null;;;;;;;30539;28308;24679;23543
SPORTBACK 2,0 TFSI SPORT ALCANTARA;;null;null;null;null;;;;;;;;;null;24116
SPORTBACK 2,0 TFSI SPORT ALCANTARA MULTI;;null;null;null;null;;;;;;;;;null;25592
SPORTBACK 2,0 TFSI SPORT CRO;;null;null;null;null;;;;;;;;;null;23865
SPORTBACK 2,0 TFSI SPORT CRO MULTI;;null;null;null;null;;;;;;;;;null;25341
SPORTBACK 2,0 TFSI PLUS;;null;null;null;null;;;;;;;;;null;23280
SPORTBACK 2,0 TFSI PLUS MULTI;;null;null;null;null;;;;;;;;;null;24756
SPORTBACK 2,0 TFSI S-TRONIC;;null;null;null;null;;49193;44959;42619;40126;;;;null;null
SPORTBACK 2,0 TFSI 190CV 40 FRONT;;null;null;null;null;;51723;;;;;;;null;null
SPORTBACK 2,0 TFSI 40 S-TRONIC;;71521;68116;64872;null;;;;;;;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
SPORTBACK 2,0 TFSI QUATTRO;;null;null;null;null;;;;;;;;;null;23752
SPORTBACK 2,0 TFSI QUATTRO S-TRONIC;;null;null;null;null;;;;;39055;35113;31915;30634;26510;25224
SPORTBACK 2,0 TFSI QUATTRO S-TRONIC 2017;;null;null;null;null;;55232;50685;46881;43617;;;;null;null
SPORTBACK 2,0 TFSI QUATTRO SPORT ALCANTARA;;null;null;null;null;;;;;;;;;null;25801
SPORTBACK 2,0 TFSI QUATTRO SPORT ALCANTARA MULTI;;null;null;null;null;;;;;;;;;null;27273
SPORTBACK 2,0 TFSI QUATTRO SPORT CRO;;null;null;null;null;;;;;;;;;null;25551
SPORTBACK 2,0 TFSI QUATTRO SPORT CRO MULTI;;null;null;null;null;;;;;;;;;null;27023
SPORTBACK 2,0 TFSI QUATTRO PLUS;;null;null;null;null;;;;;;;;;null;24965
SPORTBACK 2,0 TFSI QUATTRO PLUS MULTI;;null;null;null;null;;;;;;;;;null;26437
SPORTBACK 2,0 TFSI QUATTRO 252CV 45;;null;null;null;66600;61667;58206;;;;;;;null;null
SPORTBACK 2,0 TFSI QUATTRO 45 2023;;86333;82222;76132;null;;;;;;;;;null;null
SPORTBACK 3,0 TFSI QUATTRO S-TRONIC;;null;null;null;null;;;;;;40414;36733;35258;32812;32983
SPORTBACK 3,2 FSI QUATTRO S-TRONIC;;null;null;null;null;;;;;;;;;null;30030
COUPE 2,0 TFSI;;null;null;null;null;;;;;;;29155;27025;23561;22476
COUPE 2,0 TFSI MULTI;;null;null;null;null;;;;;;;31025;28759;25072;23918
COUPE 2,0 TFSI SPORT ALCANTARA;;null;null;null;null;;;;;;;;;null;24483
COUPE 2,0 TFSI SPORT ALCANTARA MULTI;;null;null;null;null;;;;;;;;;null;25065
COUPE 2,0 TFSI SPORT CRO;;null;null;null;null;;;;;;;;;null;25917
COUPE 2,0 TFSI SPORT CRO MULTI;;null;null;null;null;;;;;;;;;null;25679
COUPE 2,0 TFSI PLUS;;null;null;null;null;;;;;;;;;null;23664
COUPE 2,0 TFSI PLUS MULTI;;null;null;null;null;;;;;;;;;null;25106
COUPE 2,0 TFSI S-TRONIC 2017;;null;null;null;null;;49193;44959;42619;40126;;;;null;null
COUPE 2,0 TFSI 190CV 40 FRONT;;null;null;null;59182;54799;51723;;;;;;;null;null
COUPE 2,0 TFSI 40;;73667;70159;66818;null;;;;;;;;;null;null
COUPE 2,0 TFSI QUATTRO;;null;null;null;null;;;;;;;;;null;24123
COUPE 2,0 TFSI QUATTRO S-TRONIC;;null;null;null;null;;;;;39330;35384;32161;30870;26750;25568
COUPE 2,0 TFSI QUATTRO S-TRONIC 2017;;null;null;null;null;;61369;56317;52090;48464;;;;null;null
COUPE 2,0 TFSI QUATTRO SPORT ALCANTARA;;null;null;null;null;;;;;;;;;null;26130
COUPE 2,0 TFSI QUATTRO SPORT ALCANTARA S-TRONIC;;null;null;null;null;;;;;;;;;null;27575
COUPE 2,0 TFSI QUATTRO SPORT CRO;;null;null;null;null;;;;;;;;;null;25884
COUPE 2,0 TFSI QUATTRO SPORT CRO S-TRONIC;;null;null;null;null;;;;;;;;;null;27330
COUPE 2,0 TFSI QUATTRO PLUS;;null;null;null;null;;;;;;;;;null;25310
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
COUPE 2,0 TFSI QUATTRO PLUS S-TRONIC;;null;null;null;null;;;;;;;;;null;26756
COUPE 2,0 TFSI QUATTRO 252CV 45;;null;null;null;74000;68518;64673;;;;;;;null;null
COUPE 2,0 TFSI QUATTRO 45 2023;;88923;84689;78415;null;;;;;;;;;null;null
COUPE 3,0 TFSI QUATTRO S-TRONIC;;null;null;null;null;;;;;;40578;36882;35401;32945;32022
CABRIO 3,0 TFSI QUATTRO S-TRONIC;;null;null;null;null;;;;;;;47306;43850;38229;36469
COUPE 3,2 QUATTRO;;null;null;null;null;;;;;;;;;null;26928
COUPE 3,2 QUATTRO S-TRONIC;;null;null;null;null;;AU;DI 0KM;EN US$;;;;;null;29402
CABRIO 3,2 FSI QUATTRO S-TRONIC;;null;null;null;null;;;;;;;;;null;34066
4P 2,0 TFSI S-TRONIC 190CV MILDHYBIRD ADVANCE;68,200;85250;null;null;null;;;;;;;;;null;null
4P 2,0 TFSI S-TRONIC 272CV MILDHYBIRD S-LINE QUATTRO;89,900;112375;null;null;null;;;;;;;;;null;null
A6;;null;null;null;null;;;;;;;;;null;null
4P 2,8 FSI MULTI;;null;null;null;null;;;;;;;21295;19739;18123;16695
4P 3,0 TFSI QUATTRO S-TRONIC;;null;null;null;null;;68586;61705;51806;45376;39075;35234;31328;26023;23063
4P 3,0 TFSI QUATTRO 340CV 55;115,219;116010;107417;102046;94487;89988;85703;;;;;;;null;null
4P 3,0 TDi S-TRONIC QUATTRO;;null;null;null;null;;;;;;;36644;32752;27392;null
A7;;null;null;null;null;;;;;;;;;null;null
SPORTBACK 3.0 FSI V6 S-TRONIC QUATTRO;;null;null;null;null;;66970;60252;53396;45919;42382;40944;39041;34879;30289
SPORTBACK 3.0 FSI QUATTRO 340CV 55;;124529;115305;109814;101680;96838;91403;;;;;;;null;null
SPORTBACK 3.0 TDi S-TRONIC QUATTRO;;null;null;null;null;;;;;;42382;40944;39041;34879;30289
A8;;null;null;null;null;;;;;;;;;null;null
4P 4.2 TFSI QUATTRO TIPT;;null;null;null;null;;;;;;;59870;55496;50951;48983
4P 4,0 V8 TFSI TRONIC QUATTRO;;null;null;null;null;;;;;;;80284;74419;68324;null
4P 4,0 V8 TFSI TRONIC QUATTRO L;;null;null;null;null;;;;;;;82961;76900;70601;null
4P 4,0 TFSI QUATTRO 460CV 60;;null;null;246964;228671;217782;205559;;;;;;;null;null
4P 4,0 TFSI QUATTRO 460CV 60 L;;null;null;247927;229562;218630;206360;;;;;;;null;null
ALLROAD;;null;null;null;null;;;;;;;;;null;null
5P A 4 2,0 TFSI QUATTRO S-TRONIC;;null;null;null;null;;;;;;;23783;22046;20240;19458
5P A 4 2,0 TFSI QUATTRO S-TRONIC;;null;null;null;null;;;;;;;25915;24022;22054;21203
5P A 4 2,0 TFSI QUATTRO S-TRONIC ATTRACTION;;null;null;null;null;;;;;;;25842;23954;21992;null
5P A 4 2,0 TFSI QUATTRO S-TRONIC AMBITION;;null;null;null;null;;;;;;;27937;25896;23775;null
5P A 4 2,0 TFSI QUATTRO S-TRONIC 2017;;null;null;null;null;;53632;48251;40511;35821;;;;null;null
5P A 4 2,0 TFSI QUATTRO S-TRONIC STR MH;;71509;66212;59570;null;;;;;;;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P A 6 3,0 TFSI S-TRONIC QUATTRO;;null;null;null;null;;79638;69388;59366;53475;48073;43128;39977;36703;null
5P A 6 3,0 TFSI QUATTRO 340CV 55;122,532;124218;115017;109266;101172;96354;91766;;;;;;;null;null
5P A 6 3,0 TDi S-TRONIC QUATTRO;;null;null;null;null;;;;;;49935;45476;42154;38701;null
e-tron;;null;null;null;null;;;;;;;;;null;null
4P 55 QUATTRO;;null;null;138626;128357;122245;;;;;;;;null;null
5P 55 QUATTRO SPORTBACK;;null;null;145421;134649;128238;;;;;;;;null;null
Q 2;;null;null;null;null;;;;;;;;;null;null
5P 1,4 TFSI SERIE S-TRONIC;;null;null;null;null;;32026;31328;31501;30490;;;;null;null
5P 1,4 TFSI SPORT S-TRONIC;;null;null;null;null;;35308;34537;34728;33614;;;;null;null
5P 1,4 TFSI OFFROAD STYLE S-TRONIC;;null;null;null;null;;40518;39634;39853;;;;;null;null
5P 1,0 TFSI SPORT 30 116CV;;null;null;null;36249;34523;32879;;;;;;;null;null
5P 1,4 TFSI SPORT S-TRONIC 35 150CV;;null;null;null;null;41877;39883;;;;;;;null;null
5P 2,0 TFSI QUATTRO S-TRONIC 40 190CV;;null;null;null;null;47682;45412;;;;;;;null;null
5P 1,4 TFSI SPORT S-TRONIC 35 150CV 2022;51,618;52487;48599;46285;44081;;;;;;;;;null;null
5P 2,0 TFSI QUATTRO S-TRONIC 40 190CV 2022;57,872;59764;55337;52702;50192;;;;;;;;;null;null
Q 3;;null;null;null;null;;;;;;;;;null;null
5P 1,4 TFSI 150CV;;null;null;null;null;;;;;22252;19956;19146;;null;null
5P 1,4 TFSI 150CV S-TRONIC;;null;null;null;null;;;;;23642;21203;20342;;null;null
5P 1,4 TFSI 150CV SPORT;;null;null;null;null;;33260;30324;25693;22920;;;;null;null
5P 1,4 TFSI 150CV SPORT S-TRONIC;;null;null;null;null;;35224;32115;27210;24274;;;;null;null
5P 1,4 TFSI 35 150CV;;null;51156;48598;44998;42856;40815;;;;;;;null;null
5P 1,4 TFSI SPORTBACK 35 150CV;56,670;57194;52957;50310;46583;44365;42252;;;;;;;null;null
5P 2,0 TFSI QUATTRO 170CV;;null;null;null;null;;;;;;;21338;19594;17823;16977
5P 2,0 TFSI QUATTRO 170CV S-TRONIC;;null;null;null;null;;;;;;;22913;21040;19138;18230
5P 2,0 TFSI QUATTRO 211CV S-TRONIC;;null;null;null;null;;;;;;;24094;22125;20125;19170
5P 2,0 TFSI QUATTRO 220CV S-TRONIC;;null;null;null;null;;41179;37544;31810;28378;25450;;;null;null
5P 2,0 TFSI QUATTRO 220CV S-TRONIC S LINE;;null;null;null;null;;42241;38512;32630;;;;;null;null
5P 2,0 TFSI QUATTRO 40 ADVANCED;61,475;69425;64282;61068;56544;53852;51287;;;;;;;null;null
5P 2,0 TFSI SPORTBACK QUATTRO 40 S-LINE;70,239;75803;70188;66678;61739;58799;55999;;;;;;;null;null
5P 2,0 TDi QUATTRO 177CV S-TRONIC;;null;null;null;null;;;;;;;25249;23185;21089;null
Q 5;;null;null;null;null;;;;;;;;;null;null
5P 2,0 TFSI QUATTRO 180CV;;null;null;null;null;;;;;;;19943;18313;17407;17667
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 2,0 TFSI QUATTRO 180CV 2013;;null;null;null;null;;;;;;;22804;20941;19905;null
5P 2,0 TFSI QUATTRO 225CV 2013;;null;null;null;null;;;;;;;24062;22095;21002;null
5P 2,0 TFSI QUATTRO 180CV S-TRONIC;;null;null;null;null;;;;;;;22367;20539;19523;19629
5P 2,0 TFSI QUATTRO 225CV S-TRONIC 2013;;null;null;null;null;;;;;31499;28854;25496;23413;22254;null
5P 2,0 TFSI QUATTRO 252CV S-TRONIC 2017;;null;null;null;null;;49055;42884;37040;33049;;;;null;null
5P 2,0 TFSI QUATTRO 252CV S-TRONIC SECURITY;;null;null;null;null;;74745;65342;56437;;;;;null;null
5P 2,0 TFSI QUATTRO LUXURY;;null;null;null;null;;;;;;;;;null;20685
5P 2,0 TFSI QUATTRO LUXURY S-TRONIC;;null;null;null;null;;;;;;;;;null;22100
5P 2,0 TFSI 252CV 45 OFFROAD;;null;null;null;65845;54158;51119;;;;;;;null;null
5P 2,0 TFSI 252CV 45 SPORT;;null;null;null;73553;60498;57103;;;;;;;null;null
5P 2,0 TFSI 200CV QUATTRO S-TRONIC ADVANCED MILD-HYBRID;86,000;86258;null;null;null;;;;;;;;;null;null
5P 2,0 TFSI 200CV QUATTRO S-TRONIC ADVANCED SPORTBACK ILD-H Y;89,000;89267;null;null;null;;;;;;;;;null;null
5P 2,0 TFSI 272CV QUATTRO S-TRONIC ADVANCED PLUS MILD-HYBRID;102,000;102306;null;null;null;;;;;;;;;null;null
5P 2,0 TFSI 272CV QUATTRO S-TRONIC S-LINE MILD-HYBRID;107,000;107321;null;null;null;;;;;;;;;null;null
5P 3,2 FSI V6 QUATTRO S-TRONIC;;null;null;null;null;;;;;;;;26700;25379;25758
5P 2,0 TDi QUATTRO;;null;null;null;null;;;;;;;;;null;21763
5P 2,0 TDi QUATTRO S-TRONIC;;null;null;null;null;;;;;;;;22939;21804;22130
5P 2,0 TDi QUATTRO S-TRONIC 2013;;null;null;null;null;;;;;;;29349;26951;25618;null
5P 2,0 TDi QUATTRO LUXURY;;null;null;null;null;;;;;;;;;null;22629
5P 2,0 TDi QUATTRO LUXURY S-TRONIC;;null;null;null;null;;;;;;;;;null;23157
5P 3,0 TDi V6 QUATTRO S-TRONIC;;null;null;null;null;;;;;;;29384;26982;25647;26031
5P 3,0 TDi V6 QUATTRO S-TRONIC 2013;;null;null;null;null;;;;;;;32905;30216;28721;null
5P 3,0 TFSI 272CV QUATTRO TIPT;;null;null;null;null;;;;;46467;42564;37165;34325;32627;null
5P 3,0 TFSI 354CV QUATTRO TIPT S 2017;;null;null;null;86262;70951;67572;61686;57055;55053;;;;null;null
5P 3,0 TFSI 367CV QUATTO S-TRONIC SQ5 MILD-HYBIRD;134,000;134402;null;null;null;;;;;;;;;null;null
Q 5 SPORTBACK;;null;null;null;null;;;;;;;;;null;null
5P 2,0 TFSI 245CV QUATTRO OFFROAD MH 45;;82481;76371;73412;null;;;;;;;;;null;null
5P 2,0 TFSI 245CV QUATTRO S-TRONIC HYBRID ADVANCE 45;;84543;78280;null;null;;;;;;;;;null;null
5P 2,0 TFSI 245CV QUATTRO S-TRONIC HYBRID S-LINE 45;;95796;88700;null;null;;;;;;;;;null;null
5P 2,0 TFSI 245CV QUATTRO PREMIUM BLACK;;133325;null;null;null;;;;;;;;;null;null
Q 7;;null;null;null;null;;;;;;;;;null;null
5P 3,0 TFSI QUATTRO TIPT 272CV;;null;null;null;null;;;;;;;39127;35929;32681;30197
null;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 3,0 TFSI QUATTRO TIPT 333CV;;null;null;null;null;;;;;;;43784;40206;36571;33791
5P 3,0 TDi QUATTRO TIPT;;null;null;null;null;;;;;;;44677;41026;37317;34480
5P 4,2 TDi;;null;null;null;null;;;;;;;50532;46403;42208;38999
5P 3,0 TFSI QUATTRO 333CV 8TIPT 2016;;null;null;null;null;;99129;91202;77286;68308;65852;;;null;null
5P 3,0 TDi;null;null;null;null;null;null;101186;93095;78890;69726;67688;null;null;null;null
5P 55 TFSI QUATTRO 8TIPT OFFROAD;;null;null;120982;112021;106686;100699;;;;;;;null;null
5P 55 TFSI QUATTRO 8TIPT S LINE;149,482;148206;137228;130693;121012;115250;108782;;;;;;;null;null
5P 45 TDi QUATTRO 8TIPT S LINE;;null;null;128265;118764;113109;106761;;;;;;;null;null
Q 8;;null;null;null;null;;;;;;;;;null;null
5P 3,0 TFSI QUATTRO 340CV 55;159,223;167605;155189;147430;136509;130009;122712;;;;;;;null;null
5P 3,0 TDi QUATTRO 249CV 45;;null;null;144330;133639;127275;120132;;;;;;;null;null
5P 55 E-TRON;195,940;215632;199659;null;null;;;;;;;;;null;null
5P 55 E-TRON SPORTBACK;204,314;216906;200839;null;null;;;;;;;;;null;null
R8;;null;null;null;null;;;AU;DI 0KM;EN US$;;;;null;null
COUPE 4,2 FSI QUATTRO;;null;null;null;null;;;;;;;204990;188239;180733;172159
COUPE 4,2 FSI QUATTRO S-TRONIC;;null;null;null;null;;;;;;;220479;202461;194389;185166
COUPE 5,2 FSI QUATTRO;;null;null;null;null;;;;;;;258743;237599;228126;217303
COUPE 5,2 FSI QUATTRO S-TRONIC;;null;null;null;null;;;;;;;258743;237599;228126;217303
COUPE 5,2 V10 PLUS QUATTRO S-TRONIC;;null;null;null;null;;494702;452168;396830;350734;;;;null;null
SPYDER 5,2 FSI QUATTRO;;null;null;null;null;;;;;;;293719;269717;258963;246677
SPYDER 5,2 FSI QUATTRO S-TRONIC;;null;null;null;null;;;;;;;293719;269717;258963;246677
SPYDER 5,2 V10 PLUS QUATTRO S-TRONIC;;null;null;null;null;;544172;497385;436513;;;;;null;null
RS3;;null;null;null;null;;;;;;;;;null;null
4P 2,5 TFSI S-TRONIC QUATTRO 400CV;;null;null;null;null;;115875;105912;92950;82153;;;;null;null
4P 2,5 TFSI S-TRONIC QUATTRO 400CV SPORTBACK;;null;null;null;null;;114811;104940;92097;;;;;null;null
4P TFSI S-TRONIC 400CV;122,649;153311;null;null;null;;;;;;;;;null;null
4P TFSI S-TRONIC 400CV;123,235;154044;null;null;null;;;;;;;;;null;null
RS5;;null;null;null;null;;;;;;;;;null;null
4P 4,2 FSI V8 S-TRONIC;;null;null;null;null;;;;;;;80947;74332;67612;56715
COUPE 2,9 TFSI 450CV TIPT QUATTRO;;null;null;null;null;;167857;153424;144428;;;;;null;null
RS7;;null;null;null;null;;;;;;;;;null;null
SPORTBACK 4,0 TFSI V8 BT TIPT QUATTRO;;null;null;null;null;;;;127649;112821;101468;96714;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
RS E-TRON;;null;null;null;null;;;;;;;;;null;null
4P GT QUATTRO;323,636;342051;316714;301632;null;;;;;;;;;null;null
RS Q3;;null;null;null;null;;;;;;;;;null;null
5P 2,5 TFSI QUATTRO SPORTBACK;;180427;167062;null;null;;;;;;;;;null;null
RS Q8;;null;null;null;null;;;;;;;;;null;null
5P 4,0 TFSI QUATTRO 8TIPT 600CV;;null;284163;270631;257744;238652;225258;;;;;;;null;null
5P 4,0 TFSI QUATTRO 8TIPT 640CV;283,029;353786;null;null;null;;;;;;;;;null;null
S;;null;null;null;null;;;;;;;;;null;null
3P 2,0 3 TFSI QUATTRO;;null;null;null;null;;;;;;;;28428;25944;24033
3P 2,0 3 TFSI QUATTRO S-TRONIC;;null;null;null;null;;;;;;;;30065;27437;25416
5P 2,0 3 TFSI QUATTRO SPORTBACK;;null;null;null;null;;;;;;;;29591;27005;25015
5P 2,0 3 TFSI QUATTRO SPORTBACK S-TRONIC;;null;null;null;null;;;;;;;;32039;29239;27085
5P 2,0 3 TFSI QUATTRO SPORTBACK S-TRONIC 2017;;null;null;null;null;;69530;65458;59073;52519;;;;null;null
4P 2,0 3 TFSI S-TRONIC QUATTRO 2017;;null;null;null;null;;70116;66010;59571;52961;50023;;;null;null
SPORTBACK 2,0 3 TFSI S-TRONIC QUATTRO 2025;88,500;110625;null;null;null;;;;;;;;;null;null
4P 2,0 3 TFSI S-TRONIC QUATTRO 2025;88,500;110625;null;null;null;;;;;;;;;null;null
4P 3,0 TFSI 4 QUATTRO;;null;null;null;null;;;;;;;;;null;36858
4P 3,0 TFSI 4 QUATTRO S-TRONIC;;null;null;null;null;;;;;;;48459;45747;41252;38213
4P 3,0 TFSI 4 QUATTRO S-TRONIC 354CV;;null;null;null;null;;95104;89535;84285;74465;;;;null;null
COUPE 3,0 TFSI 5 QUATTRO TRIP;;null;null;null;null;;100787;94885;89321;78915;;;;null;null
SPORTBACK 3,0 TFSI 5 QUATTRO TRIP;;null;null;null;null;;100787;94885;89321;78915;;;;null;null
COUPE 4,2 FSI 5 V8 QUATTRO;;null;null;null;null;;;;;;;;;null;39556
COUPE 4,2 FSI 5 V8 QUATTRO TIPT;;null;null;null;null;;;;;;;52050;50053;44309;41045
4P 4,0 V8 TFSI 6 S-TRONIC QUATTRO;;null;null;null;null;;;;;;;69573;64432;62486;null
5P 4,0 TFSI 7 S-TRONIC QUATTRO SPORTBACK;;null;null;null;null;;;;;;;79512;75386;71413;null
TT;;null;null;null;null;;;;;;;;;null;null
COUPE 1,8 TFSI 160CV;;null;null;null;null;;;;;;;35826;33749;31093;29253
COUPE 1,8 TFSI 160CV PREMIUM;;null;null;null;null;;;;;;;;;null;30689
COUPE 1,8 TFSI 160CV SPORT;;null;null;null;null;;;;;;;;;null;30910
COUPE 1,8 TFSI 160CV PREMIUM SPORT;;null;null;null;null;;;;;;;;;null;32346
COUPE 2,0 TFSI;;null;null;null;null;;;;;;;;;null;34204
COUPE 2,0 TFSI S-TRONIC;;null;null;null;null;;;;;;;;;null;35629
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
COUPE 2,0 TFSI 211CV;;null;null;null;null;;;;;;;43025;40531;37796;35858
COUPE 2,0 TFSI 211CV S-TRONIC;;null;null;null;null;;;;;;;45491;42854;39962;37967
COUPE 2,0 TFSI 211CV PREMIUM;;null;null;null;null;;;;;;;;;null;36676
COUPE 2,0 TFSI 211CV PREMIUM S-TRONIC;;null;null;null;null;;;;;;;;;null;38689
COUPE 2,0 TFSI 211CV SPORT;;null;null;null;null;;;;;;;;;null;36913
COUPE 2,0 TFSI 211CV SPORT S-TRONIC;;null;null;null;null;;;;;;;;;null;38668
COUPE 2,0 TFSI 211CV PREMIUM SPORT;;null;null;null;null;;;;;;;;;null;38458
COUPE 2,0 TFSI 211CV PREMIUM SPORT S-TRONIC;;null;null;null;null;;;;;;;;;null;40213
COUPE 2,0 TFSI 230CV S-TRONIC;;null;null;null;null;;83088;75944;66650;58908;;;;null;null
COUPE 2,0 TFSI S 310CV QUATTRO S-TRONIC;;null;null;null;null;;119907;109597;96184;85011;;;;null;null
COUPE 2,5 TFSI RS 400CV QUATTRO S-TRONIC;;null;null;null;null;;153044;139885;122765;108505;;;;null;null
COUPE 2,5 TFSI 340 RS QUATTRO;;null;null;null;null;;;;;;;64912;61149;57023;55653
COUPE 2,5 TFSI 340 RS QUATTRO S-TRONIC;;null;null;null;null;;;;;;;67600;63681;59384;57958
COUPE 3,2 QUATTRO;;null;null;null;null;;;;;;;;;null;37682
COUPE 3,2 QUATTRO S-TRONIC;;null;null;null;null;;;;;;;;;null;39657
ROADSTER 2,0 TFSI 200CV;;null;null;null;null;;;;;;;;;null;38518
ROADSTER 2,0 TFSI 200CV S-TRONIC;;null;null;null;null;;;;;;;;;null;43501
ROADSTER 2,0 TFSI 211CV;;null;null;null;null;;;;;;;46924;44204;41221;38316
ROADSTER 2,0 TFSI 211CV S-TRONIC;;null;null;null;null;;;;;;;49413;46549;43408;40348
ROADSTER 2,0 TFSI 211CV PREMIUM;;null;null;null;null;;;;;;;;;null;39874
ROADSTER 2,0 TFSI 211CV PREMIUM S-TRONIC;;null;null;null;null;;;;;;;;;null;41925
ROADSTER 2,0 TFSI 211CV SPORT;;null;null;null;null;;;;;;;;;null;40117
ROADSTER 2,0 TFSI 211CV SPORT S-TRONIC;;null;null;null;null;;;;;;;;;null;41904
ROADSTER 2,0 TFSI 211CV PREMIUM SPORT;;null;null;null;null;;;;;;;;;null;41676
ROADSTER 2,0 TFSI 211CV PREMIUM SPORT S-TRONIC;;null;null;null;null;;;;;;;;;null;43480
ROADSTER 2,0 TFSI 310CV QUATTRO S-TRONIC;;null;null;null;null;;126848;115942;101752;;;;;null;null
ROADSTER 3,2 QUATTRO;;null;null;null;null;;;;;;;;;null;45263
ROADSTER 3,2 QUATTRO S-TRONIC;;null;null;null;null;;;;;;;;;null;47479
ROADSTER 3,2 V6 DSG QUATTRO 250CV;;null;null;146639;135777;129311;;;;;;;;null;null
;;null;null;null;null;;;;;;;;;null;null
BAIC;;null;null;null;null;;;;;;;;;null;null
BJ30;;null;null;null;null;;;;;;;;;null;null
